isbn13,source,title,author,publisher,publication_year,pages,binding,language,edition_statement,dimensions,illustrated
9780141439808,openlibrary,Mansfield Park,Jane Austen,Simms and M'Intyre,1846,480,,,,,
9780316056892,openlibrary,Bossypants,Tina Fey,Little Brown & Company,2013,272,,,,,
